Lat,Lon,Npp
-31.5,129,0.03
-31,129,0.02
-30.5,129,0.01
-30,129,0
-29.5,129,-0.01
-29,129,-0.01
-28.5,129,-0.01
-28,129,-0.02
-27.5,129,-0.02
-27,129,-0.01
-26.5,129,-0.01
-26,129,-0.01
-31.5,129.5,0.03
-31,129.5,0.02
-30.5,129.5,0.01
-30,129.5,0
-29.5,129.5,-0.01
-29,129.5,-0.01
-28.5,129.5,-0.01
-28,129.5,-0.02
-27.5,129.5,-0.02
-27,129.5,-0.01
-26.5,129.5,-0.01
-26,129.5,-0.01
-31.5,130,0.03
-31,130,0.02
-30.5,130,0.01
-30,130,0
-29.5,130,-0.01
-29,130,-0.01
-28.5,130,-0.01
-28,130,-0.02
-27.5,130,-0.02
-27,130,-0.01
-26.5,130,-0.01
-26,130,-0.01
-31.5,130.5,0.03
-31,130.5,0.02
-30.5,130.5,0.01
-30,130.5,0
-29.5,130.5,-0.01
-29,130.5,-0.01
-28.5,130.5,-0.01
-28,130.5,-0.02
-27.5,130.5,-0.02
-27,130.5,-0.01
-26.5,130.5,-0.01
-26,130.5,-0.01
-31.5,131,0.04
-31,131,0.02
-30.5,131,0.01
-30,131,0
-29.5,131,0
-29,131,-0.01
-28.5,131,-0.01
-28,131,-0.02
-27.5,131,-0.02
-27,131,-0.01
-26.5,131,-0.01
-26,131,-0.01
-31.5,131.5,0.04
-31,131.5,0.02
-30.5,131.5,0.01
-30,131.5,0
-29.5,131.5,0
-29,131.5,-0.01
-28.5,131.5,-0.01
-28,131.5,-0.01
-27.5,131.5,-0.02
-27,131.5,-0.01
-26.5,131.5,-0.01
-26,131.5,-0.01
-31.5,132,0.04
-31,132,0.03
-30.5,132,0.01
-30,132,0.01
-29.5,132,0
-29,132,-0.01
-28.5,132,-0.01
-28,132,-0.01
-27.5,132,-0.02
-27,132,-0.01
-26.5,132,-0.01
-26,132,-0.01
-31.5,132.5,0.04
-31,132.5,0.03
-30.5,132.5,0.02
-30,132.5,0.01
-29.5,132.5,0
-29,132.5,-0.01
-28.5,132.5,-0.01
-28,132.5,-0.01
-27.5,132.5,-0.02
-27,132.5,-0.01
-26.5,132.5,-0.01
-26,132.5,-0.01
-32,133,0.06
-31.5,133,0.04
-31,133,0.03
-30.5,133,0.02
-30,133,0.01
-29.5,133,0
-29,133,-0.01
-28.5,133,-0.01
-28,133,-0.01
-27.5,133,-0.02
-27,133,-0.01
-26.5,133,-0.01
-26,133,-0.01
-32,133.5,0.06
-31.5,133.5,0.04
-31,133.5,0.03
-30.5,133.5,0.02
-30,133.5,0.01
-29.5,133.5,0
-29,133.5,-0.01
-28.5,133.5,-0.01
-28,133.5,-0.01
-27.5,133.5,-0.02
-27,133.5,-0.01
-26.5,133.5,-0.01
-26,133.5,-0.01
-32,134,0.06
-31.5,134,0.04
-31,134,0.03
-30.5,134,0.02
-30,134,0.01
-29.5,134,0
-29,134,-0.01
-28.5,134,-0.01
-28,134,-0.01
-27.5,134,-0.02
-27,134,-0.01
-26.5,134,-0.01
-26,134,-0.01
-33,134.5,0.09
-32.5,134.5,0.07
-32,134.5,0.06
-31.5,134.5,0.04
-31,134.5,0.03
-30.5,134.5,0.02
-30,134.5,0.01
-29.5,134.5,0
-29,134.5,-0.01
-28.5,134.5,-0.01
-28,134.5,-0.01
-27.5,134.5,-0.02
